X	Y	eta_m
-975.000000	-1975.000000	0.100000
-975.000000	-1925.000000	0.100000
-975.000000	-1875.000000	0.091823
-975.000000	-1825.000000	0.101906
-975.000000	-1775.000000	0.098858
-975.000000	-1725.000000	0.100000
-975.000000	-1675.000000	0.098230
-975.000000	-1625.000000	0.100000
-975.000000	-1575.000000	0.100000
-975.000000	-1525.000000	0.100000
-975.000000	-1475.000000	0.100000
-975.000000	-1425.000000	0.100512
-975.000000	-1375.000000	0.100000
-975.000000	-1325.000000	0.098932
-975.000000	-1275.000000	0.100000
-975.000000	-1225.000000	0.100000
-975.000000	-1175.000000	0.100000
-975.000000	-1125.000000	0.105522
-975.000000	-1075.000000	0.099250
-975.000000	-1025.000000	0.100000
-975.000000	-975.000000	0.098735
-975.000000	-925.000000	0.100000
-975.000000	-875.000000	0.100000
-975.000000	-825.000000	0.100000
-975.000000	-775.000000	0.100000
-975.000000	-725.000000	0.100000
-975.000000	-675.000000	0.100000
-975.000000	-625.000000	0.100000
-975.000000	-575.000000	0.100000
-975.000000	-525.000000	0.100000
-975.000000	-475.000000	0.100000
-975.000000	-425.000000	0.092600
-975.000000	-375.000000	0.100000
-975.000000	-325.000000	0.098245
-975.000000	-275.000000	0.058885
-975.000000	-225.000000	-0.016863
-975.000000	-175.000000	0.055551
-975.000000	-125.000000	-0.002680
-975.000000	-75.000000	-0.058946
-975.000000	875.000000	-2.901951
-975.000000	925.000000	-0.878119
-975.000000	975.000000	-0.058326
-975.000000	1025.000000	0.100000
-975.000000	1075.000000	0.100000
-975.000000	1125.000000	0.100000
-975.000000	1175.000000	0.100000
-975.000000	1225.000000	0.100000
-975.000000	1275.000000	0.100000
-975.000000	1325.000000	0.100000
-975.000000	1375.000000	0.100000
-975.000000	1425.000000	0.100000
-975.000000	1475.000000	0.100000
-975.000000	1525.000000	0.100000
-975.000000	1575.000000	0.100000
-975.000000	1625.000000	0.100000
-975.000000	1675.000000	0.100000
-975.000000	1725.000000	0.100000
-975.000000	1775.000000	0.100000
-975.000000	1825.000000	0.100000
-975.000000	1875.000000	0.100000
-975.000000	1925.000000	0.100000
-975.000000	1975.000000	0.100596
-925.000000	-1975.000000	0.097456
-925.000000	-1925.000000	0.084127
-925.000000	-1875.000000	0.085384
-925.000000	-1825.000000	0.100000
-925.000000	-1775.000000	0.097176
-925.000000	-1725.000000	0.100897
-925.000000	-1675.000000	0.100000
-925.000000	-1625.000000	0.098976
-925.000000	-1575.000000	0.100000
-925.000000	-1525.000000	0.105350
-925.000000	-1475.000000	0.100000
-925.000000	-1425.000000	0.100000
-925.000000	-1375.000000	0.098481
-925.000000	-1325.000000	0.100000
-925.000000	-1275.000000	0.100000
-925.000000	-1225.000000	0.100000
-925.000000	-1175.000000	0.100000
-925.000000	-1125.000000	0.114388
-925.000000	-1075.000000	0.100000
-925.000000	-1025.000000	0.100000
-925.000000	-975.000000	0.100000
-925.000000	-925.000000	0.100859
-925.000000	-875.000000	0.100000
-925.000000	-825.000000	0.100000
-925.000000	-775.000000	0.100000
-925.000000	-725.000000	0.100000
-925.000000	-675.000000	0.100000
-925.000000	-625.000000	0.100000
-925.000000	-575.000000	0.095061
-925.000000	-525.000000	0.100000
-925.000000	-475.000000	0.101563
-925.000000	-425.000000	0.100000
-925.000000	-375.000000	0.100000
-925.000000	-325.000000	0.018984
-925.000000	-275.000000	-0.004749
-925.000000	-225.000000	-0.000460
-925.000000	-175.000000	0.036064
-925.000000	-125.000000	-0.373817
-925.000000	-75.000000	-5.000000
-925.000000	825.000000	-5.000000
-925.000000	875.000000	-0.933640
-925.000000	925.000000	-0.154639
-925.000000	975.000000	0.100000
-925.000000	1025.000000	0.100000
-925.000000	1075.000000	0.100000
-925.000000	1125.000000	0.100000
-925.000000	1175.000000	0.100000
-925.000000	1225.000000	0.100000
-925.000000	1275.000000	0.100000
-925.000000	1325.000000	0.100000
-925.000000	1375.000000	0.100000
-925.000000	1425.000000	0.100000
-925.000000	1475.000000	0.100000
-925.000000	1525.000000	0.100000
-925.000000	1575.000000	0.100000
-925.000000	1625.000000	0.100000
-925.000000	1675.000000	0.100000
-925.000000	1725.000000	0.100000
-925.000000	1775.000000	0.100000
-925.000000	1825.000000	0.102971
-925.000000	1875.000000	0.113776
-925.000000	1925.000000	0.132975
-925.000000	1975.000000	0.132422
-875.000000	-1975.000000	0.100000
-875.000000	-1925.000000	0.100000
-875.000000	-1875.000000	0.098451
-875.000000	-1825.000000	0.100000
-875.000000	-1775.000000	0.102934
-875.000000	-1725.000000	0.100000
-875.000000	-1675.000000	0.097510
-875.000000	-1625.000000	0.100922
-875.000000	-1575.000000	0.100000
-875.000000	-1525.000000	0.103347
-875.000000	-1475.000000	0.107597
-875.000000	-1425.000000	0.102425
-875.000000	-1375.000000	0.100000
-875.000000	-1325.000000	0.100000
-875.000000	-1275.000000	0.100000
-875.000000	-1225.000000	0.100000
-875.000000	-1175.000000	0.101673
-875.000000	-1125.000000	0.109961
-875.000000	-1075.000000	0.100000
-875.000000	-1025.000000	0.100561
-875.000000	-975.000000	0.100000
-875.000000	-925.000000	0.100000
-875.000000	-875.000000	0.100000
-875.000000	-825.000000	0.100632
-875.000000	-775.000000	0.100000
-875.000000	-725.000000	0.100000
-875.000000	-675.000000	0.100663
-875.000000	-625.000000	0.100000
-875.000000	-575.000000	0.101833
-875.000000	-525.000000	0.100000
-875.000000	-475.000000	0.100000
-875.000000	-425.000000	0.104330
-875.000000	-375.000000	0.100000
-875.000000	-325.000000	0.095738
